Date,Province/State,Country_Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,FIPS,Admin2,Province_State,Last_Update,Lat,Long_,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Incident_Rate,Case_Fatality_Ratio
02-27-2020,,Denmark,2020-02-27T16:23:03,1,0.0,0.0,,,,,,,,,,,,,,
02-28-2020,,Denmark,2020-02-27T16:23:03,1,0.0,0.0,,,,,,,,,,,,,,
02-29-2020,,Denmark,2020-02-29T18:03:05,3,0.0,0.0,,,,,,,,,,,,,,
03-01-2020,,Denmark,2020-03-01T23:33:03,4,0.0,0.0,56.2639,9.5018,,,,,,,,,,,,
03-02-2020,,Denmark,2020-03-01T23:33:03,4,0.0,0.0,56.2639,9.5018,,,,,,,,,,,,
03-03-2020,,Denmark,2020-03-03T15:13:26,6,0.0,0.0,56.2639,9.5018,,,,,,,,,,,,
03-04-2020,,Denmark,2020-03-04T00:03:15,10,0.0,0.0,56.2639,9.5018,,,,,,,,,,,,
03-05-2020,,Denmark,2020-03-04T00:03:15,10,0.0,0.0,56.2639,9.5018,,,,,,,,,,,,
03-06-2020,,Denmark,2020-03-06T13:03:12,23,0.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-07-2020,,Denmark,2020-03-06T13:03:12,23,0.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-08-2020,,Denmark,2020-03-08T14:53:11,35,0.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-09-2020,,Denmark,2020-03-09T18:13:11,90,0.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-10-2020,,Denmark,2020-03-10T17:33:34,262,0.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-11-2020,Denmark,Denmark,2020-03-11T22:13:13,442,0.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-11-2020,Faroe Islands,Denmark,2020-03-11T20:53:02,2,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-12-2020,Denmark,Denmark,2020-03-12T09:53:06,615,0.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-12-2020,Faroe Islands,Denmark,2020-03-11T20:53:02,2,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-13-2020,Denmark,Denmark,2020-03-11T20:00:00,801,0.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-13-2020,Faroe Islands,Denmark,2020-03-11T20:00:00,3,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-14-2020,Denmark,Denmark,2020-03-14T22:13:32,827,1.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-14-2020,Faroe Islands,Denmark,2020-03-14T16:33:03,9,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-15-2020,Denmark,Denmark,2020-03-15T18:20:19,864,2.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-15-2020,Faroe Islands,Denmark,2020-03-15T18:20:19,11,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-16-2020,Denmark,Denmark,2020-03-16T18:33:03,914,3.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-16-2020,Faroe Islands,Denmark,2020-03-16T14:38:45,18,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-17-2020,Denmark,Denmark,2020-03-17T16:33:04,977,4.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-17-2020,Faroe Islands,Denmark,2020-03-17T10:13:13,47,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-18-2020,Denmark,Denmark,2020-03-18T16:59:35,1057,4.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-18-2020,Faroe Islands,Denmark,2020-03-18T16:59:35,58,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-19-2020,Denmark,Denmark,2020-03-19T17:13:42,1151,6.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-19-2020,Faroe Islands,Denmark,2020-03-19T10:53:03,72,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-19-2020,Greenland,Denmark,2020-03-19T08:13:19,2,0.0,0.0,71.7069,-42.6043,,,,,,,,,,,,
03-20-2020,Denmark,Denmark,2020-03-20T18:13:12,1255,9.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-20-2020,Faroe Islands,Denmark,2020-03-20T15:13:21,80,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-20-2020,Greenland,Denmark,2020-03-19T08:13:19,2,0.0,0.0,71.7069,-42.6043,,,,,,,,,,,,
03-21-2020,Denmark,Denmark,2020-03-21T12:43:08,1326,13.0,1.0,56.2639,9.5018,,,,,,,,,,,,
03-21-2020,Faroe Islands,Denmark,2020-03-21T12:43:08,92,0.0,0.0,61.8926,-6.9118,,,,,,,,,,,,
03-21-2020,Greenland,Denmark,2020-03-19T08:13:19,2,0.0,0.0,71.7069,-42.6043,,,,,,,,,,,,
03-22-2020,,Denmark,,1395,13.0,1.0,,,,,,3/22/20 23:45,56.2639,9.5018,1381.0,Denmark,,,,
03-23-2020,,Denmark,,1450,24.0,1.0,,,,,,2020-03-23 23:19:21,56.2639,9.5018,1425.0,Denmark,,,,
03-24-2020,,Denmark,,1591,32.0,1.0,,,,,,2020-03-24 23:37:15,56.2639,9.5018,1558.0,Denmark,,,,
03-25-2020,,Denmark,,1724,34.0,1.0,,,,,,2020-03-25 23:33:04,56.2639,9.5018,1689.0,Denmark,,,,
03-26-2020,,Denmark,,1877,41.0,1.0,,,,,,2020-03-26 23:48:18,56.2639,9.5018,1835.0,Denmark,,,,
03-27-2020,,Denmark,,2046,52.0,1.0,,,,,,2020-03-27 23:23:03,56.2639,9.5018,1993.0,Denmark,,,,
03-28-2020,,Denmark,,2201,65.0,1.0,,,,,,3/28/20 23:05,56.2639,9.5018,2135.0,Denmark,,,,
03-29-2020,,Denmark,,2395,72.0,1.0,,,,,,3/29/20 23:08,56.2639,9.5018,2322.0,Denmark,,,,
03-30-2020,,Denmark,,2577,77.0,1.0,,,,,,3/30/20 22:52,56.2639,9.5018,2499.0,Denmark,,,,
03-31-2020,,Denmark,,2860,90.0,1.0,,,,,,2020-03-31 23:43:43,56.2639,9.5018,2769.0,Denmark,,,,
04-01-2020,,Denmark,,3107,104.0,894.0,,,,,,2020-04-01 21:58:34,56.2639,9.5018,2109.0,Denmark,,,,
04-02-2020,,Denmark,,3386,123.0,1089.0,,,,,,4/2/20 23:25,56.2639,9.5018,2174.0,Denmark,,,,
04-03-2020,,Denmark,,3757,139.0,1193.0,,,,,,2020-04-03 22:46:20,56.2639,9.5018,2425.0,Denmark,,,,
04-04-2020,,Denmark,,4077,161.0,1283.0,,,,,,4/4/20 23:34,56.2639,9.5018,2633.0,Denmark,,,,
04-05-2020,,Denmark,,4369,179.0,1327.0,,,,,,2020-04-05 23:06:26,56.2639,9.5018,2863.0,Denmark,,,,
04-06-2020,,Denmark,,4681,187.0,1378.0,,,,,,4/6/20 23:21,56.2639,9.5018,3116.0,Denmark,,,,
04-07-2020,,Denmark,,5071,203.0,1491.0,,,,,,2020-04-07 23:04:29,56.2639,9.5018,3377.0,Denmark,,,,
04-08-2020,,Denmark,,5402,218.0,1621.0,,,,,,2020-04-08 22:51:39,56.2639,9.5018,3563.0,Denmark,,,,
04-09-2020,,Denmark,,5635,237.0,1736.0,,,,,,2020-04-09 23:02:19,56.2639,9.5018,3662.0,Denmark,,,,
04-10-2020,,Denmark,,5819,247.0,1773.0,,,,,,2020-04-10 22:53:48,56.2639,9.5018,3799.0,Denmark,,,,
04-11-2020,,Denmark,,5996,260.0,1955.0,,,,,,2020-04-11 22:45:13,56.2639,9.5018,3781.0,Denmark,,,,
04-12-2020,,Denmark,,6174,273.0,2123.0,,,,,,2020-04-12 23:17:00,56.2639,9.5018,3778.0,Denmark,,,,
04-13-2020,,Denmark,,6318,285.0,2235.0,,,,,,2020-04-13 23:07:34,56.2639,9.5018,3798.0,Denmark,,,,
04-14-2020,,Denmark,,6511,299.0,2515.0,,,,,,2020-04-14 23:33:12,56.2639,9.5018,3697.0,Denmark,,,,
04-15-2020,,Denmark,,6681,309.0,2748.0,,,,,,2020-04-15 22:56:32,56.2639,9.5018,3624.0,Denmark,,,,
04-16-2020,,Denmark,,6879,321.0,3023.0,,,,,,2020-04-16 23:30:31,56.2639,9.5018,3535.0,Denmark,,,,
04-17-2020,,Denmark,,7073,336.0,3389.0,,,,,,2020-04-17 23:30:32,56.2639,9.5018,3348.0,Denmark,,,,
04-18-2020,,Denmark,,7242,346.0,3847.0,,,,,,2020-04-18 22:32:28,56.2639,9.5018,3049.0,Denmark,,,,
04-19-2020,,Denmark,,7384,355.0,4141.0,,,,,,2020-04-19 23:40:41,56.2639,9.5018,2888.0,Denmark,,,,
04-20-2020,,Denmark,,7515,364.0,4312.0,,,,,,2020-04-20 23:36:27,56.2639,9.5018,2839.0,Denmark,,,,
04-21-2020,,Denmark,,7695,370.0,4700.0,,,,,,2020-04-21 23:30:30,56.2639,9.5018,2625.0,Denmark,,,,
04-22-2020,,Denmark,,7912,384.0,5087.0,,,,,,2020-04-22 23:30:32,56.2639,9.5018,2441.0,Denmark,,,,
04-23-2020,,Denmark,,8073,394.0,5384.0,,,,,,2020-04-24 03:30:31,56.2639,9.5018,2295.0,Denmark,,,,
04-24-2020,,Denmark,,8210,403.0,5526.0,,,,,,2020-04-25 06:30:33,56.2639,9.5018,2281.0,Denmark,,,,
04-25-2020,,Denmark,,8445,418.0,5669.0,,,,,,2020-04-26 02:30:31,56.2639,9.5018,2358.0,Denmark,,,,
04-26-2020,,Denmark,,8575,422.0,5805.0,,,,,,2020-04-27 02:30:33,56.2639,9.5018,2348.0,Denmark,,,,
04-27-2020,,Denmark,,8698,427.0,5959.0,,,,,,2020-04-28 02:30:32,56.2639,9.5018,2312.0,Denmark,,,,
04-28-2020,,Denmark,,8851,434.0,6121.0,,,,,,2020-04-29 02:32:29,56.2639,9.5018,2296.0,Denmark,,,,
04-29-2020,,Denmark,,9008,443.0,6366.0,,,,,,2020-04-30 02:32:27,56.2639,9.5018,2199.0,Denmark,,,,
04-30-2020,,Denmark,,9158,452.0,6546.0,,,,,,2020-05-01 02:32:28,56.2639,9.5018,2160.0,Denmark,,,,
05-01-2020,,Denmark,,9311,460.0,6729.0,,,,,,2020-05-02 02:32:27,56.2639,9.5018,2122.0,Denmark,,,,
05-02-2020,,Denmark,,9407,475.0,6889.0,,,,,,2020-05-03 02:32:28,56.2639,9.5018,2043.0,Denmark,,,,
05-03-2020,,Denmark,,9523,484.0,6987.0,,,,,,2020-05-04 02:32:28,56.2639,9.5018,2052.0,Denmark,,,,
